Title,Author,ISBN,Description
Dune,Frank Herbert,9780441013593,"A desert planet becomes the center of political power, prophecy, and ecological struggle."
Neuromancer,William Gibson,9780441569595,A washed-up hacker is hired for one final job in this cyberpunk-defining novel.
Foundation,Isaac Asimov,9780553293357,Hari Seldon predicts the fall of a Galactic Empire and plans for its rebirth.
Ender's Game,Orson Scott Card,9780812550702,A gifted child is trained through war simulations to save humanity from alien invasion.
Snow Crash,Neal Stephenson,9780553380958,"A fast-paced cyberpunk trip through virtual worlds, Sumerian myth, and corporate nations."
The Left Hand of Darkness,Ursula K. Le Guin,9780441478125,A lone envoy navigates a world where gender is fluid and politics are perilous.
Hyperion,Dan Simmons,9780553283686,Travelers share haunting tales on a pilgrimage to confront the mysterious Shrike.
The Hitchhiker's Guide to the Galaxy,Douglas Adams,9780345391803,A comedic romp through space with an ordinary man and his alien friend.
Brave New World,Aldous Huxley,9780060850524,"A dystopian future run by genetic engineering, social conditioning, and pleasure."
1984,George Orwell,9780451524935,A totalitarian regime uses surveillance and thought control to dominate society.
Fahrenheit 451,Ray Bradbury,9781451673319,Firemen burn books in a world where critical thinking is outlawed.
The Martian,Andy Weir,9780804139021,An astronaut must engineer his survival after being stranded on Mars.
The Time Machine,H.G. Wells,9780553213515,A Victorian scientist travels far into the future to witness civilization’s fate.
Do Androids Dream of Electric Sheep?,Philip K. Dick,9780345404473,A bounty hunter questions reality and empathy while tracking rogue androids.
The War of the Worlds,H.G. Wells,9780141441030,Martians invade Earth in this pioneering alien-invasion story.
Leviathan Wakes,James S.A. Corey,9780316129084,A noir detective and a ship’s officer uncover a conspiracy threatening the solar system.
The Three-Body Problem,Liu Cixin,9780765382030,Humanity encounters a destabilizing alien civilization through physics and philosophy.
Solaris,Stanisław Lem,9780156027601,Scientists study a sentient ocean that reflects their deepest psychological fears.
The Hunger Games,Suzanne Collins,9780439023528,A young woman becomes the symbol of rebellion in a dystopian arena of death.
Old Man’s War,John Scalzi,9780765348272,Elderly citizens enlist in a space military and receive new genetically-enhanced bodies.
Ringworld,Larry Niven,9780345333926,Explorers investigate an enormous artificial ring encircling a distant star.
Altered Carbon,Richard K. Morgan,9780345457684,Identity becomes transferable through body-swapping technology.
The Forever War,Joe Haldeman,9780312536633,A soldier experiences extreme time dilation while fighting an interstellar war.
A Canticle for Leibowitz,Walter M. Miller Jr.,9780553273816,Monks preserve scientific knowledge after nuclear devastation.
The Road,Cormac McCarthy,9780307387899,A father and son journey through a bleak post-apocalyptic world.
Slaughterhouse-Five,Kurt Vonnegut,9780385333849,"A nonlinear, time-tripping reflection on war and fate."
Contact,Carl Sagan,9780671004101,Humanity receives a signal from intelligent extraterrestrials.
Annihilation,Jeff VanderMeer,9780374104092,"A scientific team explores a bizarre, reality-altering environment called Area X."
The Dispossessed,Ursula K. Le Guin,9780061054884,A physicist bridges ideological worlds in this exploration of anarchism and utopia.
The Moon Is a Harsh Mistress,Robert A. Heinlein,9780312863554,Lunar colonists rebel against Earth with help from an emergent AI.
The Man in the High Castle,Philip K. Dick,9780547572482,An alternate history where the Axis powers won WWII.
Starship Troopers,Robert A. Heinlein,9780441783588,A soldier recounts his experiences in a mobile-infantry war against alien bugs.
The Handmaid’s Tale,Margaret Atwood,9780385490818,A woman survives as forced surrogate in a theocratic dystopia.
The Andromeda Strain,Michael Crichton,9780061703157,Scientists race to contain an extraterrestrial microbe.
Jurassic Park,Michael Crichton,9780345538987,Genetic engineering brings dinosaurs back—with catastrophic results.
Ready Player One,Ernest Cline,9780307887443,A teen embarks on a high-stakes treasure hunt through virtual reality.
The Stand,Stephen King,9780307743688,"A plague wipes out most of humanity, triggering a battle between good and evil."
"I, Robot",Isaac Asimov,9780553382563,"Stories exploring robotics, free will, and Asimov’s Three Laws."
The Martian Chronicles,Ray Bradbury,9781451678192,Vignette tales of humanity colonizing a dying Mars.
The Giver,Lois Lowry,9780544336261,A boy learns the dark truths behind his seemingly perfect society.
A Fire Upon the Deep,Vernor Vinge,9780812515282,A galaxy split into computational zones gives rise to a universe-threatening intelligence.
Red Mars,Kim Stanley Robinson,9780553560732,Scientists lead humanity’s decades-long colonization of Mars.
Permutation City,Greg Egan,9781597805395,"Consciousness, simulation, and reality blur in this posthuman exploration."
Revelation Space,Alastair Reynolds,9780441009428,Gothic space opera featuring ancient alien artifacts and cosmic threats.
Ubik,Philip K. Dick,9780547572291,Reality unravels after a corporate security team is bombed on the moon.
Blindsight,Peter Watts,9780765312181,A team confronts truly alien intelligence beyond comprehension.
Childhood’s End,Arthur C. Clarke,9780345444059,Benevolent aliens usher humanity into its next evolutionary phase.
The Sparrow,Mary Doria Russell,9780449912553,Jesuits make first contact with alien life with tragic consequences.
The Power,Naomi Alderman,9780316547611,"Women develop the ability to produce electricity, flipping global power structures."
The Peripheral,William Gibson,9780425276235,Two timelines intersect through telepresence technology.
The Diamond Age,Neal Stephenson,9780553380965,Nanotech shapes society in this tale of education and revolution.
Parable of the Sower,Octavia E. Butler,9780446675505,A young woman founds a new belief system in a collapsing America.
Kindred,Octavia E. Butler,9780807083697,A modern Black woman is pulled back in time to the antebellum South.
Oryx and Crake,Margaret Atwood,9780385721677,A biotech-dominated future unravels into catastrophe.
The Windup Girl,Paolo Bacigalupi,9781597801571,Biopunk corporate intrigue in a climate-ravaged future Thailand.
"The Long Way to a Small, Angry Planet",Becky Chambers,9780062444134,"A warm, character-driven space opera following a tunneling ship’s crew."
The Space Between Worlds,Micaiah Johnson,9780593135068,A multiverse traveler uncovers dangerous secrets across parallel Earths.
The Invisible Man,H.G. Wells,9780451531674,A scientist becomes invisible and descends into madness.
Memoirs Found in a Bathtub,Stanisław Lem,9780156587808,A surreal satire set in a labyrinthine future bureaucracy.
The Fifth Season,N.K. Jemisin,9780316229296,A dying Earth plagued by seismic catastrophe and powerful orogenes.
Dark Matter,Blake Crouch,9781101904220,A physicist is thrust into alternate versions of his own life.
Recursion,Blake Crouch,9781524759780,A memory-altering technology threatens reality itself.
Frankenstein,Mary Shelley,9780486282114,"A scientist creates life, unleashing tragedy and ethical quandaries."
Roadside Picnic,Arkady & Boris Strugatsky,9781613743416,An alien visitation zone offers miraculous—but deadly—artifacts.
The Puppet Masters,Robert A. Heinlein,9780345321008,Humanity battles parasitic alien invaders.
Lucifer’s Hammer,Larry Niven & Jerry Pournelle,9780449208137,A comet impact plunges Earth into chaos.
The Mote in God’s Eye,Larry Niven & Jerry Pournelle,9781439139987,First contact with an alien species of extreme complexity.
Gateway,Frederik Pohl,9780345475831,Prospectors explore dangerous alien spacecraft for fortune.
The Day of the Triffids,John Wyndham,9780812967128,Man-eating plants rise after a global blindness event.
The Postmortal,Drew Magary,9780143119821,A cure for aging disrupts society in unexpected ways.
Sphere,Michael Crichton,9780061990557,Scientists investigate a mysterious alien sphere under the sea.
The Girl With All the Gifts,M.R. Carey,9780316334754,A gifted girl may hold the key to humanity’s survival in a fungal apocalypse.
The Water Knife,Paolo Bacigalupi,9780307955968,A water-scarce American Southwest devolves into conflict.
Station Eleven,Emily St. John Mandel,9780804172448,A traveling symphony roams a post-pandemic North America.
The First Fifteen Lives of Harry August,Claire North,9780316399623,A man relives his life repeatedly—and must stop another who does the same.
Binti,Nnedi Okorafor,9780765385253,A young woman leaves home to attend a prestigious interstellar university.
All Systems Red,Martha Wells,9780765397539,A security robot becomes self-aware and just wants to be left alone.
The Man Who Fell to Earth,Walter Tevis,9780345443489,An alien arrives on Earth seeking help for his dying planet.
Pattern Recognition,William Gibson,9780425192931,A marketing consultant investigates mysterious online videos.
The Sirens of Titan,Kurt Vonnegut,9780385333498,A cosmic journey exploring free will and purpose.
The Light Brigade,Kameron Hurley,9781481447966,Soldiers are turned into light to fight a war across space-time.
Spin,Robert Charles Wilson,9780812968873,Earth is enclosed in a time-distorting barrier by unknown forces.
The City & The City,China Miéville,9780345497529,Two cities occupy the same physical space but citizens must 'unsee' each other.
Diaspora,Greg Egan,9781597800888,A posthuman civilization explores existence across the cosmos.
